EmpID,Last Name,First Name,Sex,Position,Department,Salary,Bonus%,DOB ,Hire Date,Region,MgrID,
1666,Adamson,Tom,M,Sales,Sales,"$38,348 ",7.7%,1976-07-24,1999-04-03,RockyMtns,1637,
1010,Alqahtani,Tony,M,Product Marketer,Marketing,"$37,821 ",28.7%,1964-07-03,1995-11-09,SW,1287,
1655,Anderson,Stephanie,F,Engineer,Engineering,"$72,230 ",29.8%,1963-10-30,1996-08-27,Pacific,1410,
1080,Arnold,Caroline,F,Engineer,Engineering,"$62,809 ",28.5%,1983-05-09,1997-11-08,RockyMtns,1410,
1283,Barber,Lisa,F,Product Marketer,Marketing,"$37,243 ",5.0%,1972-10-19,2001-05-09,RockyMtns,1287,
1319,Barns,Rolanda,F,Admin Assist,Marketing,"$41,705 ",22.5%,1976-03-16,2001-02-26,Midwest,1287,
1050,Beatty,Roger,M,Receiving,Warehouse,"$37,500 ",29.8%,1979-01-24,1997-07-10,RockyMtns,1070,
1570,Bennett,Matt,M,Product Marketer,Marketing,"$56,744 ",20.7%,1973-11-29,2001-05-10,RockyMtns,1287,
1531,Benson,Tom,M,Admin Assist,Accounting,"$36,676 ",24.7%,1972-07-24,1994-03-21,Pacific,1828,
1070,Benton,Paul,M,Group Manager,Warehouse,"$67,700 ",26.0%,1976-11-13,1995-09-21,Pacific,,
1084,Berger,Bobby,M,Engineer,Engineering,"$68,840 ",23.3%,1982-11-17,2001-02-25,SW,1410,
1476,Bui,Pat,F,Sales,Sales,"$39,124 ",30.0%,1963-10-11,2000-04-21,RockyMtns,1637,
1553,Carlos,Sally,F,Technician,Engineering,"$40,875 ",11.3%,1973-10-25,1996-11-08,Pacific,1410,
1252,Chen,Pat,M,Accountant,Accounting,"$48,968 ",4.7%,1974-04-20,1994-12-17,Pacific,1828,
1213,Conard,Donald,M,Product Marketer,Marketing,"$40,645 ",25.2%,1958-03-31,1997-01-27,Midwest,1287,
1622,Conley,Girard,M,Engineer,Engineering,"$68,201 ",16.7%,1979-05-27,2000-08-26,Midwest,1410,
1132,Conners,Burt,M,Admin Assist,Admin,"$42,468 ",6.8%,1963-05-30,1993-11-09,RockyMtns,1602,
1311,Conway,Tom,M,Design Specialist,Art,"$62,681 ",23.6%,1956-10-18,1996-10-03,RockyMtns,,
1180,Costas,James,M,Inventory,Warehouse,"$40,600 ",11.4%,1969-08-24,2000-01-20,Pacific,1070,
